Bernie_Sanders	0.0	0.0	1.0	0.0	None	None
Bernie_Sanders	0.539	0.0	0.852	0.148	None	None
Bernie_Sanders	-0.296	0.084	0.916	0.0	None	None
Bernie_Sanders	-0.128	0.073	0.927	0.0	None	None
Bernie_Sanders	-0.7777	0.295	0.705	0.0	None	None
Bernie_Sanders	-0.0516	0.209	0.636	0.155	None	None
Bernie_Sanders	0.4939	0.0	0.873	0.127	None	None
Bernie_Sanders	0.7096	0.1	0.575	0.326	['CollegeForAll']	['IAStudentAction', 'CCIAction', 'BernieSanders']
Bernie_Sanders	0.5859	0.0	0.769	0.231	None	None
Bernie_Sanders	0.6983	0.0	0.746	0.254	None	None
Bernie_Sanders	-0.5574	0.167	0.833	0.0	None	None
Bernie_Sanders	0.0258	0.214	0.569	0.217	None	None
Bernie_Sanders	-0.128	0.061	0.939	0.0	None	None
Bernie_Sanders	0.7906	0.0	0.652	0.348	None	None
Bernie_Sanders	0.5267	0.118	0.614	0.268	None	None
Bernie_Sanders	-0.5875	0.194	0.806	0.0	None	None
Bernie_Sanders	0.5574	0.0	0.765	0.235	['CyberMonday']	[]
Bernie_Sanders	0.0	0.0	1.0	0.0	None	None
Bernie_Sanders	0.7003	0.0	0.756	0.244	None	None
Bernie_Sanders	0.7845	0.104	0.554	0.343	None	None
Bernie_Sanders	-0.1779	0.082	0.918	0.0	None	None
Bernie_Sanders	0.0	0.0	1.0	0.0	None	None
Bernie_Sanders	0.34	0.106	0.691	0.203	None	None
Bernie_Sanders	-0.1779	0.15	0.688	0.161	None	None
Bernie_Sanders	0.8519	0.0	0.617	0.383	['Bernie2020', 'FeelTheB']	['AriRabinHavt', 'BernieSanders']
Bernie_Sanders	-0.6705	0.234	0.766	0.0	None	None
Bernie_Sanders	0.6808	0.081	0.667	0.252	None	None
Bernie_Sanders	0.7906	0.0	0.75	0.25	None	None
Bernie_Sanders	0.7935	0.053	0.642	0.305	None	None
Bernie_Sanders	0.1779	0.051	0.873	0.076	None	None
Bernie_Sanders	0.6124	0.0	0.815	0.185	None	None
Bernie_Sanders	-0.1779	0.149	0.759	0.092	None	None
Bernie_Sanders	0.0	0.0	1.0	0.0	None	None
Bernie_Sanders	0.3259	0.212	0.494	0.294	None	None
Bernie_Sanders	-0.576	0.228	0.686	0.086	None	None
Bernie_Sanders	0.4019	0.101	0.688	0.211	None	None
Bernie_Sanders	0.0	0.0	1.0	0.0	None	None
Bernie_Sanders	0.7506	0.0	0.748	0.252	None	None
Bernie_Sanders	0.2516	0.072	0.812	0.115	None	None
Bernie_Sanders	0.09	0.0	0.942	0.058	None	None
Bernie_Sanders	-0.6124	0.2	0.8	0.0	None	None
Bernie_Sanders	0.3182	0.0	0.892	0.108	None	None
Bernie_Sanders	0.765	0.0	0.691	0.309	['IFightForThem']	['mcbyrne']
Bernie_Sanders	0.296	0.095	0.763	0.141	None	None
Bernie_Sanders	-0.296	0.133	0.772	0.096	None	None
Bernie_Sanders	-0.6249	0.242	0.758	0.0	None	None
Bernie_Sanders	0.0	0.0	1.0	0.0	None	None
Bernie_Sanders	0.1779	0.0	0.928	0.072	None	None
Bernie_Sanders	-0.6597	0.197	0.803	0.0	None	None
Bernie_Sanders	-0.7579	0.254	0.746	0.0	None	None
Bernie_Sanders	0.5267	0.0	0.866	0.134	None	None
Bernie_Sanders	-0.743	0.259	0.741	0.0	None	None
Bernie_Sanders	-0.0516	0.118	0.772	0.11	None	None
Bernie_Sanders	-0.1779	0.12	0.787	0.094	None	None
Bernie_Sanders	0.0	0.0	1.0	0.0	None	None
Bernie_Sanders	0.4404	0.0	0.888	0.112	None	None
Bernie_Sanders	0.6369	0.0	0.84	0.16	None	None
Bernie_Sanders	0.2263	0.087	0.792	0.121	None	None
Bernie_Sanders	-0.3412	0.107	0.893	0.0	None	None
Bernie_Sanders	0.9371	0.0	0.525	0.475	None	None
Bernie_Sanders	0.3182	0.0	0.897	0.103	None	None
Bernie_Sanders	0.5994	0.0	0.742	0.258	None	None
Bernie_Sanders	0.0	0.0	1.0	0.0	None	None
Bernie_Sanders	0.9201	0.0	0.498	0.502	None	None
Bernie_Sanders	-0.8166	0.288	0.712	0.0	None	None
Bernie_Sanders	0.7579	0.091	0.592	0.317	None	None
Bernie_Sanders	0.5719	0.0	0.85	0.15	None	None
Bernie_Sanders	-0.743	0.231	0.769	0.0	None	None
Bernie_Sanders	0.0	0.0	1.0	0.0	['FallonTonight']	['FallonTonight', 'BernieSanders']
Bernie_Sanders	0.0	0.0	1.0	0.0	None	None
Bernie_Sanders	0.4926	0.0	0.868	0.132	None	None
Bernie_Sanders	0.0	0.0	1.0	0.0	['FallonTonight']	['FallonTonight', 'BernieSanders']
Bernie_Sanders	-0.8689	0.353	0.647	0.0	None	None
Bernie_Sanders	0.4215	0.0	0.887	0.113	None	None
Bernie_Sanders	0.4404	0.0	0.873	0.127	None	None
Bernie_Sanders	0.0	0.0	1.0	0.0	None	None
Bernie_Sanders	-0.1469	0.182	0.697	0.121	None	None
Bernie_Sanders	0.0	0.0	1.0	0.0	['FallonTonight']	['FallonTonight', 'BernieSanders', 'garyvee']
Bernie_Sanders	0.2023	0.19	0.57	0.241	None	None
Bernie_Sanders	-0.3612	0.173	0.717	0.11	None	None
Bernie_Sanders	-0.1531	0.102	0.82	0.078	['BigUs']	['ninaturner']
Bernie_Sanders	0.1027	0.101	0.78	0.119	None	None
Bernie_Sanders	0.3612	0.0	0.865	0.135	['Eulen']	['32BJSEIU', 'BernieSanders', 'ChipotleTweets', 'AmericanAir']
Bernie_Sanders	0.128	0.101	0.778	0.121	None	None
Bernie_Sanders	0.4939	0.068	0.684	0.248	None	None
Bernie_Sanders	0.25	0.0	0.905	0.095	['BigUs']	['AbshirDSM']
Bernie_Sanders	0.0	0.0	1.0	0.0	None	None
Bernie_Sanders	0.4404	0.0	0.775	0.225	['Bernie2020', 'IACaucus']	['mistyrebik']
Bernie_Sanders	0.0	0.0	1.0	0.0	None	None
Bernie_Sanders	0.0	0.0	1.0	0.0	None	None
Bernie_Sanders	0.5267	0.098	0.677	0.226	None	None
Bernie_Sanders	-0.3612	0.162	0.734	0.104	None	None
Bernie_Sanders	-0.3612	0.122	0.878	0.0	None	None
Bernie_Sanders	0.0	0.0	1.0	0.0	None	None
Bernie_Sanders	0.5859	0.0	0.863	0.137	None	None
Bernie_Sanders	0.5574	0.0	0.739	0.261	['MyBernieStory']	[]
Bernie_Sanders	0.5267	0.0	0.804	0.196	None	None
Bernie_Sanders	0.0	0.0	1.0	0.0	None	None
Bernie_Sanders	0.2023	0.084	0.8	0.116	None	None
Bernie_Sanders	0.25	0.0	0.9	0.1	None	None
Bernie_Sanders	0.765	0.0	0.708	0.292	None	None
Bernie_Sanders	-0.5106	0.171	0.743	0.086	None	None
Bernie_Sanders	0.0	0.0	1.0	0.0	None	None
Bernie_Sanders	0.296	0.0	0.879	0.121	None	None
Bernie_Sanders	-0.3818	0.189	0.714	0.096	None	None
Bernie_Sanders	-0.836	0.308	0.692	0.0	None	None
Bernie_Sanders	0.3612	0.0	0.878	0.122	None	None
Bernie_Sanders	0.4614	0.107	0.661	0.232	None	None
Bernie_Sanders	0.2732	0.0	0.905	0.095	None	None
Bernie_Sanders	0.7297	0.0	0.695	0.305	None	None
Bernie_Sanders	0.0	0.0	1.0	0.0	None	None
Bernie_Sanders	0.0	0.0	1.0	0.0	None	None
Bernie_Sanders	0.4939	0.093	0.645	0.262	None	None
